1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	12.236720	0.000000	0.044044	3.153058	22.6
1	12.000251	0.000000	0.044044	3.826335	0.9
2	12.704400	0.996644	0.042049	3.478569	0.8
3	18.053552	0.247608	0.043531	1.298801	0.9
4	17.171326	0.000000	0.044044	9.055240	0.8
5	16.108733	0.999993	0.042042	5.312694	0.8
6	13.175845	1.999975	0.040214	0.788954	0.9
7	14.475039	2.833961	0.038807	1.305473	0.9
8	9.823725	2.543123	0.039287	4.494810	0.9
9	10.652168	2.006053	0.040204	2.084389	0.9
10	13.090224	2.997329	0.038543	2.519784	0.9
11	10.868365	2.261606	0.039762	4.831837	1.0
12	9.878875	1.512839	0.041085	1.508995	0.9
13	13.296528	0.772330	0.042482	3.304616	0.9
14	10.967075	1.763701	0.040632	1.661120	0.8
15	16.367692	2.644670	0.039118	6.314629	0.9
16	14.006806	3.644641	0.037531	4.611584	0.9
17	11.873445	4.644639	0.036067	6.210175	0.9
18	12.025084	4.697976	0.035992	4.870346	0.8
19	16.139066	5.697976	0.034644	12.806213	0.8
20	15.691710	4.948820	0.035644	6.949028	0.9
21	13.800260	4.199664	0.036704	6.375786	0.9
22	17.804793	5.199664	0.035303	7.855501	0.8
23	20.793408	4.450508	0.036342	7.184049	0.8
24	11.404852	3.701352	0.037445	3.544151	0.9
25	11.318551	4.701335	0.035988	3.965348	0.9
26	14.547931	4.745338	0.035926	2.627424	0.9
27	10.117361	5.745279	0.034583	1.362743	1.0
28	12.642061	6.065013	0.034174	4.136332	0.9
29	12.535789	5.382552	0.035058	3.877454	0.9
30	14.354047	4.633396	0.036083	7.252889	0.8
31	13.089196	3.884241	0.037169	5.217379	0.9
32	11.932143	3.138222	0.038318	2.000886	0.9
33	13.732894	4.020616	0.036967	4.866964	1.1
34	12.692008	3.281753	0.038092	3.043576	1.1
35	17.800912	4.256908	0.036621	5.689344	0.9
36	11.907043	3.507753	0.037740	2.182408	0.9
37	11.511166	4.507715	0.036261	3.389297	0.9
38	12.355218	3.763563	0.037350	2.294026	0.9
39	12.411905	4.759067	0.035907	2.284301	0.9
40	13.089110	4.947965	0.035646	5.016662	0.9
41	10.735154	4.198815	0.036705	3.013164	0.9
42	11.877113	3.469568	0.037799	2.078349	0.9
43	8.935824	2.733137	0.038972	2.098262	0.9
44	11.219280	2.457974	0.039429	1.277629	0.9
45	15.592853	2.146351	0.039960	4.514706	0.8
46	13.609943	1.719891	0.040710	3.443383	0.8
47	12.652762	2.719891	0.038994	2.470060	0.9
48	12.464528	2.000287	0.040214	2.211743	0.9
49	10.959457	1.626482	0.040878	2.251620	0.9
50	12.840882	0.885414	0.042262	2.703012	0.9
51	11.528346	0.456623	0.043107	1.989226	0.8
52	11.925524	0.000000	0.044044	7.760914	0.8
53	12.431417	0.636259	0.042749	4.033206	0.8
54	16.820110	0.000000	0.044044	10.653849	0.9
55	12.741439	0.993065	0.042056	3.008821	0.8
56	10.107829	1.991529	0.040229	3.420785	0.9
57	19.499872	2.941267	0.038633	3.834834	0.9
58	11.037861	3.941265	0.037084	6.111963	0.9
59	9.737041	4.941265	0.035655	3.055077	1.1
60	17.924462	4.192109	0.036715	1.789400	0.9
61	10.095428	5.184896	0.035323	2.838163	0.8
62	11.422264	4.445489	0.036350	0.731010	0.9
63	8.833192	4.000637	0.036996	1.256681	0.9
64	14.259637	4.265284	0.036609	3.145380	0.8
65	11.508914	3.996631	0.037002	1.073311	0.9
66	10.930422	3.299241	0.038064	2.897162	0.9
67	12.832258	4.022533	0.036964	2.175760	0.9
68	11.797098	4.641288	0.036072	2.208588	0.8
69	15.273657	5.629045	0.034734	2.959325	0.9
70	10.492759	5.029161	0.035534	3.258929	0.8
71	12.958846	4.504443	0.036265	1.231992	0.8
72	7.626678	3.849881	0.037221	1.251414	0.8
73	15.047890	3.357226	0.037974	5.123514	0.8
74	17.997205	4.336886	0.036505	3.808813	0.9
75	11.921339	5.336886	0.035119	1.715696	0.9
76	16.854680	4.588476	0.036146	3.576468	0.9
77	8.407872	3.865128	0.037198	1.204142	0.8
78	11.276024	4.587112	0.036148	3.612274	0.8
79	10.777033	5.571731	0.034809	2.439266	1.1
80	15.351006	5.963365	0.034303	2.103344	0.8
81	14.327190	6.107687	0.034121	4.737345	0.8
82	12.168427	5.488646	0.034918	2.488290	0.8
83	9.325201	4.739539	0.035934	3.240829	0.9
84	10.858020	5.735180	0.034596	2.966057	0.8
85	9.397543	6.735128	0.033349	2.367980	0.8
86	12.948414	5.987558	0.034273	5.318310	0.8
87	16.898654	5.238404	0.035251	4.596555	0.9
88	15.412131	4.489721	0.036286	5.021811	0.9
89	13.608759	5.489721	0.034917	3.893055	0.8
90	19.881350	4.740565	0.035933	6.844952	0.8
91	10.240207	5.740565	0.034589	3.589785	0.9
92	12.435366	6.725931	0.033360	1.651033	0.8
93	13.595546	7.720498	0.032205	7.887878	1.1
94	17.129171	8.720118	0.031121	6.010916	0.9
95	14.299822	7.970962	0.031926	2.878746	0.9
96	12.631250	8.970962	0.030861	5.714810	0.8
97	15.716651	9.970962	0.029864	3.835097	0.8
98	9.916280	9.221806	0.030605	1.241220	0.8
99	12.510220	8.944260	0.030888	6.077449	0.8
100	15.672722	9.942880	0.029892	9.301753	0.8
101	16.631285	9.193724	0.030633	6.214214	0.8
102	9.119651	10.193724	0.029651	1.301940	0.8
103	9.594279	11.193510	0.028730	3.468344	0.8
104	16.289062	10.812454	0.029075	4.264998	0.9
105	11.562224	10.954912	0.028945	4.248964	0.8
