1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
106	4.710778	20.190628	0.107197	1.217082	0.8
107	5.331998	21.174403	0.104696	1.982495	0.8
108	5.795858	22.174403	0.102271	1.324217	0.9
109	5.577092	23.174403	0.099956	1.543939	0.8
110	4.754771	22.597080	0.101280	1.569404	0.9
111	3.993833	23.597080	0.099009	0.888464	0.9
112	4.813793	24.518906	0.097004	0.682981	0.9
113	4.608772	23.941583	0.098250	1.119113	0.8
114	4.474115	23.364122	0.099529	1.386837	0.8
115	5.948354	24.364121	0.097335	1.256069	0.9
116	4.260468	25.364093	0.095236	0.477724	0.8
117	5.999942	26.361502	0.093230	1.556774	0.9
118	3.715286	25.784040	0.094381	0.424671	1.0
119	5.261375	26.716312	0.092537	0.857108	0.8
120	4.748860	26.289084	0.093373	0.081044	0.9
121	3.795703	26.001949	0.093943	0.423242	0.9
122	5.851135	26.038542	0.093870	0.748676	0.9
123	5.075171	25.508590	0.094940	0.580457	0.8
124	4.698889	25.041274	0.095903	0.129125	0.8
125	7.183564	25.001008	0.095987	1.432494	0.9
126	4.224908	24.498158	0.097048	0.920127	1.0
127	5.247641	25.498158	0.094961	0.687342	0.9
128	5.568202	26.497835	0.092962	0.696225	0.8
129	3.781331	25.920556	0.094106	1.546064	0.8
130	4.864749	26.920550	0.092142	0.390224	0.8
131	6.296943	27.920493	0.090259	0.566717	1.1
132	4.237003	28.780464	0.088700	0.458062	0.8
133	4.889970	28.560588	0.089093	0.711875	0.9
134	3.207957	28.246479	0.089661	0.297515	0.9
135	4.424557	28.739772	0.088772	0.519341	0.8
136	3.796308	29.003838	0.088303	0.570442	0.8
137	4.736604	28.575656	0.089066	1.035537	0.8
138	5.182645	28.001550	0.090110	2.472980	1.0
139	3.887032	27.424088	0.091184	0.445598	0.9
140	4.569354	27.491397	0.091058	0.370384	0.8
141	6.178784	26.996160	0.091997	0.884822	0.8
142	3.595959	26.429128	0.093097	0.713214	0.9
143	3.913844	27.429110	0.091175	1.034044	0.8
144	4.986122	26.851663	0.092275	1.461586	1.1
145	4.312641	26.274352	0.093402	1.144901	1.0
146	4.168560	27.274352	0.091467	0.318432	0.9
147	5.107740	28.270698	0.089617	1.513288	0.8
148	4.682109	27.693344	0.090680	1.458648	0.9
149	3.783483	28.693344	0.088855	0.381493	0.9
