1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
0	1.785000	3.173720	0.396280	0.000000	0.973295	2.986222	1.654061	0.246259	1.0	1.0	142.7
1	1.851369	3.214268	0.488470	0.000000	0.973295	2.576335	3.325524	0.238204	1.0	1.0	2.6
2	1.785173	3.036135	0.534211	1.000000	0.929054	4.030349	3.401396	0.092286	1.0	1.0	2.6
3	1.596301	2.811906	0.380696	2.000000	0.888660	0.546398	1.713526	0.211642	1.0	1.0	2.6
4	1.640776	2.892253	0.389298	1.855624	0.894274	0.866565	0.919353	0.048657	1.0	1.0	2.7
5	1.658674	2.758933	0.558416	1.711267	0.899958	5.992017	2.427106	0.110270	1.1	1.1	2.9
6	1.573479	2.651149	0.495808	2.228209	0.879929	1.671807	2.916072	0.123476	1.1	1.0	2.9
7	1.977945	3.461911	0.493978	2.083950	0.885428	0.579213	2.201759	0.066475	1.0	1.0	2.6
8	1.677943	2.838662	0.517224	1.940057	0.890982	3.673149	1.023281	0.147900	1.0	1.0	2.6
9	1.927467	3.305295	0.549640	1.855745	0.894269	0.682640	2.091296	0.172216	1.1	1.0	2.7
10	2.008625	3.579780	0.437470	2.855745	0.856783	5.116387	2.239692	0.186328	1.1	1.0	2.7
11	1.735845	2.926109	0.545581	2.711658	0.861989	1.484256	2.556257	0.054002	1.0	1.0	2.7
12	1.771928	3.029552	0.514303	3.580593	0.831517	1.002109	1.545831	0.094838	1.0	1.0	2.7
13	1.792984	3.125713	0.460255	3.442218	0.836225	2.791921	1.643511	0.051410	1.1	1.0	2.8
14	2.004675	3.540181	0.469169	3.397673	0.837751	9.517674	0.644955	0.107529	1.0	1.0	2.7
15	2.172960	3.843037	0.502883	4.066888	0.815386	3.638633	0.872248	0.057950	1.0	1.0	2.6
16	2.030671	3.575561	0.485781	4.059999	0.815610	2.709303	1.794941	0.069436	1.0	1.0	2.6
17	1.865157	3.160447	0.569867	3.929957	0.819864	5.670250	2.713494	0.193660	1.0	1.0	2.6
18	1.679199	2.954790	0.403609	4.929914	0.788247	0.556365	1.458362	0.063127	1.0	1.0	2.6
19	1.812790	3.128971	0.496609	5.844597	0.761389	0.682081	1.097679	0.144460	1.0	1.0	2.6
20	1.811717	3.225319	0.398116	5.700248	0.765505	9.525511	1.509513	0.101083	1.0	1.0	2.6
21	1.918738	3.342518	0.494959	5.555959	0.769665	0.818563	1.697859	0.167985	1.0	1.0	2.6
