1:ItNr	2:Metric	2:Metric0	2:Metric1	3a:Time	3b:StepSize	4:||Gradient0||	4:||Gradient1||	4:||Gradient||	Time0[ms]	Time1[ms]	Time[ms]
22	1.844592	3.165509	0.523676	6.452476	0.744530	2.723968	2.984630	0.048035	1.0	1.0	2.6
23	2.086182	3.606220	0.566145	7.161571	0.725783	3.591418	0.751327	0.185354	1.0	1.0	2.7
24	1.795261	3.178120	0.412402	7.017874	0.729505	1.673831	1.464137	0.176663	1.0	1.0	2.6
25	1.760378	3.019874	0.500882	8.017874	0.704365	1.284088	0.400389	0.151419	1.0	1.0	2.6
26	1.940774	3.374519	0.507030	8.957822	0.682265	2.566157	0.774846	0.082277	1.0	1.0	2.6
27	1.904910	3.169211	0.640609	9.957481	0.660234	0.883128	2.450052	0.037263	1.0	1.0	2.6
28	1.694709	2.778930	0.610488	9.857079	0.662382	3.777350	3.339787	0.135743	1.0	1.0	2.6
29	1.830975	3.293991	0.367959	9.715426	0.665437	0.567028	2.231677	0.090199	1.0	1.0	2.6
30	2.038659	3.508066	0.569253	9.873247	0.662036	8.176567	2.155289	0.220524	1.0	1.0	2.6
31	1.838947	3.379066	0.298827	9.747510	0.664743	3.475911	1.465096	0.165893	1.0	1.0	2.6
32	1.831579	3.156230	0.506928	10.747510	0.643804	2.625911	2.221037	0.154027	1.0	1.0	2.6
33	1.942936	3.415672	0.470199	11.331897	0.632168	5.794202	1.516221	0.093917	1.1	1.0	2.7
34	1.650661	2.840704	0.460618	12.331843	0.613203	5.922886	0.827307	0.092575	1.0	1.0	2.6
35	1.746542	3.069893	0.423191	13.328345	0.595403	2.987801	1.799671	0.052958	1.0	1.0	2.6
36	1.976025	3.372698	0.579352	13.194882	0.597726	4.095381	1.582732	0.170677	1.0	1.0	2.6
37	1.700920	2.855714	0.546126	13.076811	0.599798	0.950760	1.602738	0.167539	1.0	1.0	2.6
38	1.880253	3.351274	0.409231	14.076811	0.582698	1.481848	1.332762	0.189173	1.0	1.0	2.6
39	1.892579	3.243017	0.542140	15.076811	0.566546	2.395743	1.820801	0.157408	1.0	1.0	2.6
40	2.000234	3.527745	0.472722	16.076811	0.551266	0.557967	0.717074	0.036155	1.0	1.0	2.6
41	1.975141	3.561073	0.389209	16.984176	0.538097	5.417443	1.082952	0.076612	1.0	1.0	2.6
42	1.951492	3.363714	0.539270	17.185256	0.535264	6.061521	2.281709	0.080410	1.0	1.0	2.7
43	1.839063	3.168575	0.509551	17.043724	0.537255	5.445166	2.272313	0.148543	1.0	1.0	2.7
44	1.835206	3.163770	0.506641	18.042039	0.523517	0.218207	2.948751	0.181684	1.0	1.0	2.6
45	1.590102	2.865497	0.314708	17.897660	0.525461	2.692588	1.523120	0.176393	1.0	1.0	2.6
46	1.922461	3.200619	0.644303	18.897660	0.512290	5.909785	3.273964	0.145339	1.1	1.0	2.8
47	1.598577	2.712066	0.485087	19.897659	0.499764	1.882848	2.019417	0.107461	1.0	1.0	2.6
48	1.765625	3.119672	0.411578	19.753281	0.501535	4.417241	2.078061	0.226374	1.0	1.0	2.6
49	1.830022	3.100362	0.559682	20.753274	0.489523	6.655543	1.415581	0.178054	1.0	1.0	2.6
50	1.823950	3.186733	0.461166	20.608895	0.491222	4.852882	2.295695	0.077014	1.0	0.9	2.5
51	1.785932	3.079224	0.492640	20.589559	0.491450	3.036774	1.595316	0.175276	1.0	1.0	2.6
52	1.671298	2.734949	0.607647	20.457722	0.493013	1.193661	3.175793	0.083605	1.0	1.0	2.7
53	2.025433	3.299181	0.751684	20.318040	0.494679	1.931376	3.103421	0.040962	1.0	1.0	2.8
54	1.935120	3.409704	0.460535	20.791071	0.489080	4.547132	1.839285	0.084540	1.0	1.0	2.7
55	2.155489	3.704444	0.606534	21.552312	0.480331	3.376529	1.369077	0.070634	1.0	1.0	2.6
56	1.870822	3.095931	0.645712	21.408519	0.481959	2.687676	2.824971	0.015578	1.0	1.0	2.7
57	1.677169	2.919789	0.434549	21.582533	0.479990	1.429395	3.362555	0.058982	1.0	1.0	2.7
58	2.197226	3.924179	0.470273	21.505075	0.480865	0.643797	1.747563	0.100116	1.0	1.0	2.6
59	1.717414	2.962987	0.471841	21.361665	0.482493	0.413284	2.106648	0.109651	1.0	1.0	2.6
60	1.825456	3.141091	0.509820	22.357467	0.471411	0.250314	0.552248	0.056790	1.0	1.1	2.7
61	1.775574	3.117839	0.433310	22.227121	0.472832	6.943912	2.280814	0.137207	1.0	1.0	2.6
62	1.867095	3.165988	0.568202	22.083732	0.474406	0.817652	2.433610	0.106730	1.0	1.0	2.6
63	1.835246	3.143575	0.526916	23.082972	0.463653	0.948488	1.749235	0.151087	1.1	1.0	2.7
64	1.811597	3.139271	0.483923	23.613372	0.458140	1.423699	2.255913	0.112368	1.0	1.0	2.7
65	1.838259	3.191184	0.485333	24.613349	0.448097	2.115142	1.237186	0.132726	1.0	1.0	2.6
66	1.992300	3.390238	0.594361	24.468977	0.449519	4.338058	3.324491	0.105452	1.0	1.0	2.6
67	1.908539	3.365974	0.451103	25.468863	0.439847	2.990103	1.494777	0.101585	1.1	1.0	2.6
68	1.770038	3.090632	0.449445	25.324489	0.441218	8.080805	2.745603	0.183473	1.0	1.0	2.6
69	2.009100	3.490499	0.527701	26.323897	0.431900	1.741192	3.115071	0.112152	1.0	1.0	2.6
70	1.819719	3.138740	0.500699	26.179711	0.433220	1.759745	1.206097	0.067372	1.0	1.0	2.6
71	1.846031	3.260815	0.431246	27.156198	0.424435	2.861352	1.382210	0.176791	1.0	1.0	2.6
72	2.112370	3.649814	0.574926	27.011830	0.425711	1.146403	2.159161	0.155692	1.0	1.0	2.6
73	2.040981	3.391505	0.690457	28.011830	0.417026	5.130082	2.905203	0.068820	1.0	1.0	2.6
74	1.886702	3.156812	0.616591	29.009066	0.408710	5.486082	2.530370	0.088316	1.0	1.0	2.6
75	1.678756	2.889385	0.468126	29.261737	0.406655	5.509637	2.476468	0.132628	1.0	1.0	2.6
76	1.643984	2.787939	0.500029	30.260807	0.398729	2.584036	0.537994	0.110932	1.0	1.0	2.6
77	1.795674	3.193438	0.397910	30.116455	0.399855	2.652956	0.843403	0.322117	1.0	1.0	2.6
78	1.900882	3.337365	0.464400	31.116455	0.392183	7.249918	3.224731	0.066022	1.0	1.0	2.6
79	1.886841	3.290951	0.482731	32.116160	0.384802	0.354367	2.407276	0.114111	1.0	1.0	2.6
80	1.739879	2.929484	0.550274	33.028312	0.378305	6.090403	2.747041	0.111403	1.0	1.0	2.6
81	2.065235	3.523702	0.606767	34.028087	0.371432	3.251897	2.374710	0.094949	1.0	1.0	2.7
82	1.903832	3.390386	0.417278	33.883716	0.372409	0.682025	1.307691	0.132860	1.0	1.0	2.6
83	1.966129	3.466891	0.465366	34.821886	0.366150	1.618522	3.276933	0.102553	1.0	1.0	2.7
84	1.867219	3.129333	0.605105	35.814530	0.359753	2.002558	3.053041	0.177721	1.0	1.0	2.6
85	1.639908	2.832923	0.446892	35.670151	0.360669	4.244895	0.997474	0.113356	1.0	1.0	2.6
86	1.778166	3.092037	0.464295	36.670150	0.354415	7.321748	1.739654	0.103747	1.0	1.0	2.7
87	2.078020	3.587335	0.568704	36.818695	0.353505	0.925119	2.835289	0.061423	1.0	1.0	2.7
88	1.693767	2.887433	0.500102	36.681084	0.354348	3.181312	3.134478	0.120953	1.0	1.0	2.6
89	1.596680	2.691270	0.502091	36.537192	0.355234	1.259842	1.122097	0.093646	1.0	1.0	2.6
90	2.055214	3.636188	0.474241	36.719229	0.354114	4.136449	1.381046	0.113080	1.0	1.0	2.7
91	1.631545	2.743477	0.519613	37.718778	0.348086	2.688219	1.996773	0.062989	1.0	1.0	2.6
92	1.837725	3.088998	0.586451	37.574668	0.348942	3.208641	1.669706	0.035224	1.0	1.0	2.7
93	1.863315	3.106839	0.619790	37.478677	0.349515	5.963204	2.515861	0.115019	1.0	1.0	2.8
94	1.909609	3.289310	0.529907	37.456724	0.349646	0.416643	2.247134	0.071726	1.0	1.0	2.6
95	1.831696	3.151442	0.511950	37.549169	0.349094	5.287228	1.952445	0.125708	1.0	1.0	2.7
96	1.587335	2.848953	0.325718	38.547500	0.343242	5.789453	1.484542	0.098329	1.0	1.0	2.6
97	1.857383	3.302720	0.412046	39.522757	0.337711	7.310429	1.919456	0.102784	1.0	1.0	2.7
98	1.842088	3.271458	0.412717	39.378569	0.338517	2.114909	2.697583	0.076625	1.0	1.0	2.7
99	1.865565	3.206859	0.524272	40.282888	0.333522	2.136574	2.527001	0.143758	1.0	1.0	2.6
100	1.720535	3.008659	0.432411	41.275840	0.328204	2.216064	2.105149	0.125948	1.0	1.0	2.7
101	1.664486	2.814228	0.514744	42.275836	0.323017	1.868382	1.153907	0.083356	1.0	1.0	2.6
102	1.897840	3.222873	0.572807	43.100769	0.318860	1.813945	2.274659	0.050961	1.0	1.0	2.7
103	2.025005	3.530933	0.519076	42.960233	0.319561	3.965568	2.243958	0.068927	1.0	1.0	2.6
104	1.958107	3.427783	0.488432	43.477765	0.316996	2.947690	1.744277	0.089786	1.0	1.0	2.6
105	1.841692	3.204495	0.478889	43.359218	0.317580	1.514084	1.406294	0.040431	1.0	1.0	2.7
106	1.673149	2.798604	0.547694	44.057325	0.314172	3.464063	2.486897	0.097174	1.0	1.0	2.6
107	1.807984	3.042352	0.573615	43.982221	0.314535	0.412415	0.740215	0.107143	1.0	1.0	2.6
108	1.876001	3.295681	0.456322	44.981782	0.309770	1.865967	1.306401	0.062557	1.0	1.0	2.6
109	1.923270	3.335500	0.511040	44.841729	0.310429	3.853634	2.468328	0.051638	1.0	1.0	2.6
110	1.979016	3.482646	0.475385	44.745440	0.310884	6.678366	1.693047	0.116177	1.0	1.0	2.6
111	2.026409	3.475699	0.577120	45.556890	0.307093	3.782170	2.526264	0.171866	1.0	1.0	2.6
112	1.611143	2.604958	0.617329	46.556870	0.302548	0.912591	2.124667	0.058380	1.0	1.0	2.7
113	1.666886	2.960133	0.373639	46.414187	0.303188	7.262431	1.532729	0.163604	1.0	1.0	2.6
114	1.844562	3.257015	0.432108	47.050702	0.300352	5.474335	0.173555	0.088237	1.0	1.0	2.6
115	1.640370	2.732895	0.547845	48.033038	0.296078	5.267635	1.803468	0.099415	1.0	1.0	2.6
116	1.702199	2.923079	0.481320	48.081748	0.295870	5.367780	2.055962	0.235197	1.0	1.0	2.6
117	1.796160	3.095443	0.496877	49.081748	0.291648	1.717093	1.946908	0.010772	1.0	1.0	2.6
118	2.129161	3.731360	0.526962	49.003275	0.291975	0.922355	2.570156	0.138732	1.0	1.0	2.6
119	1.653752	2.856696	0.450807	49.264053	0.290891	4.219022	2.821300	0.050930	1.0	1.0	2.6
120	1.823960	3.146669	0.501250	49.862260	0.288435	0.443993	1.891509	0.087575	1.0	1.0	2.6
121	1.900352	3.303379	0.497325	49.722846	0.289004	2.206609	1.906416	0.180586	1.0	1.0	2.6
122	1.977312	3.370013	0.584611	50.722827	0.284975	1.181996	1.589085	0.097182	1.0	1.0	2.6
123	1.860337	3.152915	0.567759	51.722686	0.281057	2.209233	2.512959	0.053560	1.0	1.0	2.6
124	1.583929	2.667170	0.500688	51.707341	0.281116	1.364448	2.089170	0.025382	1.0	1.0	2.6
125	1.830833	3.297433	0.364233	51.614011	0.281477	1.869987	0.994269	0.128170	1.0	1.0	2.6
126	1.770537	2.987374	0.553700	51.483112	0.281985	5.325697	2.540837	0.178035	1.0	1.0	2.6
127	1.920852	3.365471	0.476232	52.483112	0.278148	5.398521	1.766168	0.087657	1.0	1.0	2.6
128	1.939156	3.222669	0.655644	53.483055	0.274414	4.341581	2.553528	0.058675	1.0	1.0	2.6
129	1.723634	2.839765	0.607504	53.521935	0.274271	4.653452	1.751752	0.059195	1.0	1.0	2.6
130	1.895691	3.316152	0.475229	53.772415	0.273352	0.274421	1.189944	0.070025	1.0	1.0	2.6
131	1.726464	2.989347	0.463580	54.106467	0.272136	0.335450	1.432445	0.070206	1.0	1.0	2.6
132	1.930722	3.395507	0.465937	54.449285	0.270900	2.655137	2.498872	0.082723	1.0	1.0	2.6
133	1.952361	3.419066	0.485656	54.325007	0.271347	3.162235	2.077625	0.016878	1.0	1.0	2.6
134	2.024667	3.657140	0.392194	54.249240	0.271620	2.741850	2.281497	0.130080	1.0	1.0	2.6
135	1.684686	2.896952	0.472420	54.404525	0.271060	1.477539	2.885702	0.182727	1.0	1.0	2.6
136	2.025031	3.425701	0.624360	55.404525	0.267513	4.620213	1.615166	0.063897	1.0	1.0	2.6
137	1.612316	2.776079	0.448553	56.403088	0.264062	3.583713	2.416378	0.133489	1.0	1.0	2.6
138	1.720159	3.038553	0.401766	57.328765	0.260941	2.023959	1.129400	0.117262	1.0	1.0	2.9
139	1.770959	3.065004	0.476915	58.328761	0.257652	0.539753	1.857600	0.073399	1.0	1.0	2.6
140	1.927944	3.344511	0.511378	59.323242	0.254462	8.839402	2.126708	0.092734	1.0	1.0	2.6
141	1.932935	3.542824	0.323045	59.771114	0.253051	1.804830	0.954952	0.058481	1.0	1.0	2.6
142	1.698644	2.938323	0.458966	59.631083	0.253490	5.652123	0.438458	0.128753	1.0	1.0	2.7
143	1.852028	3.191896	0.512160	60.430707	0.251001	2.880377	2.245014	0.039901	1.0	1.0	2.6
144	2.022006	3.526867	0.517146	60.287816	0.251442	6.185771	2.109416	0.220329	1.0	1.0	2.6
145	1.819091	3.099528	0.538655	61.251224	0.248497	2.295701	1.945979	0.141759	1.0	1.0	2.7
146	1.644230	2.832936	0.455523	62.251224	0.245512	3.282327	1.591131	0.085471	1.0	1.0	2.6
147	1.523884	2.649907	0.397861	62.984085	0.243370	3.537438	0.767201	0.052787	1.0	1.0	2.6
148	1.753615	2.980166	0.527064	63.163347	0.242851	3.715647	0.653178	0.138659	1.0	1.0	2.6
149	1.930497	3.403894	0.457101	63.060307	0.243149	0.609936	2.518825	0.072795	1.0	1.0	2.7
