1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	2.574226	0.000000	0.109466	1.159555	31.0
1	1.662639	0.045747	0.109228	0.837843	1.3
2	0.000000	0.091495	0.108991	0.000000	1.3
3	6.333379	0.137242	0.108755	2.217322	1.1
4	10.089424	0.182990	0.108520	1.173814	1.3
5	0.058288	0.228737	0.108287	0.077237	1.2
6	9.977814	0.274485	0.108054	2.096176	1.2
7	2.116465	0.320232	0.107822	1.259845	1.3
8	0.866806	0.365980	0.107591	0.418514	1.3
9	1.510600	0.411727	0.107361	0.451596	1.2
10	1.923527	0.457474	0.107132	1.846486	1.2
11	0.001244	0.503222	0.106904	0.004481	1.3
12	13.021270	0.548969	0.106677	1.346669	1.3
13	3.562002	0.594717	0.106451	0.823390	1.3
14	8.326212	0.640464	0.106226	1.211575	1.0
15	2.738497	0.686212	0.106002	0.487024	1.3
16	2.821308	0.731959	0.105779	1.089501	1.3
17	5.859726	0.777707	0.105557	0.867424	1.1
18	0.795768	0.823454	0.105336	0.661873	1.3
19	2.640198	0.869202	0.105115	1.645325	1.3
20	8.729588	0.914949	0.104896	0.724294	1.3
21	1.876338	0.960696	0.104677	0.286497	1.3
22	0.000000	1.006444	0.104460	0.000000	1.2
23	1.979938	1.052191	0.104243	1.271632	1.3
24	3.554679	1.097939	0.104027	0.551847	1.2
25	0.073192	1.143686	0.103812	0.034637	1.3
26	0.000000	1.189434	0.103598	0.000000	1.4
27	12.183159	1.235181	0.103385	0.948056	1.3
28	3.436549	1.280929	0.103173	0.967817	1.4
29	4.902456	1.326676	0.102961	0.893849	1.3
30	0.102213	1.372423	0.102751	0.230861	1.4
31	0.000000	1.418171	0.102541	0.000000	1.3
32	12.761220	1.463918	0.102332	1.663213	1.3
33	0.000000	1.509666	0.102124	0.000000	1.3
34	1.487476	1.555413	0.101917	0.969087	1.2
35	0.000000	1.601161	0.101711	0.000000	1.4
36	0.000000	1.646908	0.101506	0.000000	1.3
37	0.000000	1.692656	0.101301	0.000000	1.3
38	6.116566	1.738403	0.101097	1.583655	1.3
39	1.479565	1.784150	0.100894	0.512563	1.3
40	2.875910	1.829898	0.100692	0.496062	1.4
41	3.717497	1.875645	0.100491	1.137693	1.3
42	0.000000	1.921393	0.100290	0.000000	1.3
43	0.000000	1.967140	0.100090	0.000000	1.3
44	0.000000	2.012888	0.099891	0.000000	1.3
45	7.259501	2.058635	0.099693	1.310861	1.3
46	1.143763	2.104383	0.099496	0.288145	1.4
47	3.388988	2.150130	0.099299	1.113946	1.3
48	5.080396	2.195878	0.099103	2.499643	1.3
49	0.518322	2.241625	0.098908	0.243120	1.3
50	12.063995	2.287372	0.098714	1.725622	1.2
51	0.626968	2.333120	0.098520	0.211819	1.4
52	13.567165	2.378867	0.098328	1.310573	1.3
53	0.103595	2.424615	0.098136	0.122946	1.3
54	0.000000	2.470362	0.097944	0.000000	1.3
55	0.000000	2.516110	0.097754	0.000000	1.4
