1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
121	0.402564	19.231209	0.407016	0.016816	1.0
122	0.406553	19.377376	0.405542	0.025811	0.9
123	0.414035	19.362346	0.405693	0.019992	0.9
124	0.432176	19.553743	0.403779	0.043147	0.9
125	0.377476	19.852883	0.400822	0.012346	0.9
126	0.446183	19.833449	0.401013	0.031266	0.9
127	0.409960	19.833856	0.401009	0.036955	0.9
128	0.381036	19.813050	0.401213	0.024118	0.9
129	0.403202	20.065514	0.398747	0.018388	0.9
130	0.429250	20.122087	0.398198	0.017920	0.9
131	0.429813	20.104640	0.398367	0.010999	0.8
132	0.423046	20.092451	0.398485	0.056500	0.9
133	0.461493	20.491224	0.394655	0.028490	1.0
134	0.420959	20.470400	0.394854	0.041736	0.9
135	0.351148	20.560123	0.394001	0.067281	0.9
136	0.431916	21.535500	0.384966	0.011440	0.8
137	0.482049	21.549435	0.384840	0.045347	0.9
138	0.421514	21.539737	0.384928	0.031830	0.9
139	0.429755	21.519112	0.385115	0.050361	0.9
140	0.412584	21.510925	0.385189	0.022852	0.9
141	0.449969	22.077502	0.380123	0.040339	0.8
142	0.386955	22.538767	0.376096	0.036964	0.9
143	0.372417	22.518080	0.376274	0.061946	0.8
144	0.447658	22.509404	0.376349	0.035083	1.1
145	0.450257	23.509173	0.367896	0.031479	0.9
146	0.428247	23.488393	0.368068	0.040311	0.9
147	0.359991	23.467860	0.368238	0.020567	0.9
148	0.402319	23.703057	0.366300	0.028016	0.9
149	0.418806	23.947779	0.364306	0.040192	0.9
