1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	1.539172	0.000000	1.137462	0.240513	22.4
1	1.718279	0.000000	1.137462	0.107071	0.9
2	1.194378	0.986260	1.086438	0.213866	0.8
3	1.162627	0.777689	1.096843	0.111130	0.9
4	1.515650	1.386473	1.067015	0.201433	0.9
5	1.330030	1.180045	1.076946	0.217413	0.9
6	1.259005	2.180045	1.030486	0.242945	0.9
7	1.609767	1.971474	1.039842	0.249876	0.9
8	1.597174	1.762903	1.049370	0.280912	0.9
9	1.434706	2.762903	1.005210	0.136179	0.9
10	1.357067	3.762903	0.964616	0.257648	0.8
11	1.412591	4.762903	0.927174	0.111560	0.9
12	1.466914	5.762867	0.892532	0.246601	0.8
13	1.775473	5.554306	0.899542	0.124471	0.9
14	1.515923	6.554306	0.866895	0.191008	0.9
15	1.343262	7.554306	0.836536	0.132651	0.9
16	1.521152	8.554306	0.808231	0.108049	0.9
17	1.342680	8.821703	0.800984	0.236293	0.9
18	1.312161	8.613135	0.806625	0.372616	0.8
19	1.525812	9.613135	0.780276	0.387068	0.8
20	1.537306	10.613135	0.755594	0.272446	0.9
21	1.442196	11.613135	0.732426	0.116140	0.9
22	1.339778	11.676730	0.731000	0.157304	0.9
23	1.374921	11.479761	0.735433	0.066344	1.0
24	1.255126	11.272611	0.740154	0.216193	0.8
25	1.468503	11.064100	0.744967	0.285551	0.8
26	1.420472	12.064100	0.722436	0.137068	0.9
27	1.225585	12.960030	0.703377	0.113189	0.9
28	1.699162	13.243485	0.697555	0.382383	0.8
29	1.625756	14.243485	0.677762	0.216269	0.9
30	1.407130	15.243485	0.659062	0.163480	0.8
31	1.728994	16.227294	0.641645	0.075446	1.0
32	1.710791	16.137703	0.643193	0.259557	0.9
33	1.700038	17.137700	0.626328	0.324196	1.0
34	1.385115	18.137700	0.610325	0.185574	0.9
35	1.400882	17.929129	0.613595	0.087002	0.8
36	1.452644	17.720561	0.616900	0.196708	0.9
37	1.328767	18.720554	0.601369	0.063880	0.8
38	1.180724	18.511990	0.604543	0.103686	0.9
39	1.594499	19.425450	0.590883	0.180772	0.8
40	1.531551	19.216879	0.593947	0.119465	1.0
41	1.616733	20.216875	0.579537	0.101033	0.9
42	1.354831	21.215087	0.565833	0.116436	0.8
43	1.668631	21.006551	0.568642	0.066803	0.9
44	1.458403	21.993078	0.555594	0.098762	0.9
45	1.548454	22.469274	0.549508	0.146955	0.8
46	1.597443	22.260932	0.552154	0.061444	0.8
47	1.418999	23.064671	0.542083	0.074138	0.8
48	1.230068	23.000937	0.542868	0.136419	0.8
49	1.440699	22.799878	0.545360	0.240569	0.8
50	1.764145	23.799878	0.533187	0.141789	0.8
51	1.443525	24.799878	0.521545	0.076004	0.9
52	1.302111	25.794816	0.510456	0.112850	0.8
53	1.412130	26.696040	0.500811	0.071744	0.8
54	1.466765	27.468145	0.492833	0.190762	0.9
55	1.233960	28.460229	0.482948	0.125547	0.9
56	1.400728	28.251872	0.484991	0.262648	1.1
57	1.318498	29.251872	0.475340	0.041129	0.9
58	1.730219	29.601559	0.472055	0.172505	0.9
59	1.662866	29.881602	0.469457	0.083316	0.9
60	1.477979	29.673085	0.471388	0.089093	0.9
61	1.359307	30.659409	0.462388	0.146840	0.8
62	1.345552	30.450860	0.464262	0.093517	0.8
63	1.320540	31.450742	0.455412	0.128190	0.9
64	1.376196	32.429206	0.447072	0.096320	0.9
65	1.184788	32.220735	0.448823	0.295960	0.9
66	1.499426	33.220735	0.440546	0.135673	0.9
67	1.247237	33.012164	0.442247	0.267460	0.9
68	1.545190	33.330318	0.439657	0.149674	0.9
69	1.789091	33.269161	0.440152	0.179397	0.8
70	1.531369	33.060590	0.441851	0.105268	0.8
71	1.690834	32.852239	0.443560	0.248141	0.9
72	1.800466	33.846773	0.435517	0.050671	0.9
73	1.418467	34.823393	0.427898	0.059673	1.2
74	1.680862	34.699274	0.428851	0.211753	0.9
75	1.456209	35.669441	0.421509	0.051723	0.8
76	1.530404	35.461827	0.423059	0.085979	1.0
77	1.605378	35.261177	0.424568	0.118073	0.9
78	1.458069	35.304384	0.424242	0.396464	0.9
79	1.569635	36.304384	0.416839	0.160377	0.9
80	1.453746	37.304384	0.409690	0.155796	0.9
81	1.527880	38.304379	0.402781	0.184806	0.8
82	1.395159	38.095808	0.404203	0.124956	0.9
83	1.647094	39.095805	0.397477	0.114275	0.8
84	1.519278	40.037649	0.391344	0.102695	0.8
85	1.514785	39.829090	0.392686	0.219796	0.9
86	1.595043	40.825185	0.386359	0.068613	0.8
87	1.305025	41.825004	0.380210	0.088424	1.0
88	1.436156	41.647213	0.381289	0.189660	0.9
89	1.338505	41.438705	0.382562	0.147287	0.9
90	1.416874	42.438705	0.376532	0.129832	0.8
91	1.538377	42.878315	0.373941	0.132935	0.9
92	1.519224	43.878257	0.368177	0.163674	0.8
93	1.776143	44.878243	0.362589	0.136854	0.9
94	1.375343	44.669672	0.363740	0.165645	0.8
95	1.112320	45.669672	0.358284	0.212978	0.8
96	1.321638	46.669672	0.352990	0.236402	1.0
97	1.556654	46.461100	0.354081	0.175304	0.9
98	1.495288	47.461100	0.348909	0.083157	0.9
99	1.286261	47.252535	0.349975	0.093839	0.8
100	1.649196	47.045018	0.351043	0.078549	0.8
101	1.360238	46.837576	0.352116	0.270748	0.8
102	1.546907	46.707238	0.352794	0.190328	0.9
103	1.427286	47.698216	0.347705	0.196633	0.8
104	1.570020	48.698062	0.342717	0.230246	0.8
105	1.459235	49.671145	0.337998	0.251123	0.8
106	1.519929	49.462574	0.338998	0.156853	0.8
107	1.357612	49.290678	0.339827	0.229974	0.9
108	1.462891	49.082107	0.340839	0.163994	0.8
109	1.452786	50.082105	0.336044	0.107293	0.8
110	1.357232	51.082102	0.331382	0.206996	0.9
111	1.532118	52.081987	0.326848	0.273701	0.8
112	1.582668	51.873446	0.327783	0.078165	0.8
113	1.363023	52.584325	0.324617	0.185121	0.8
114	1.436148	53.584156	0.320265	0.183810	0.8
115	1.510699	54.584156	0.316028	0.125742	0.8
116	1.565475	55.584147	0.311901	0.095915	0.9
117	1.389428	55.375887	0.312752	0.052626	0.8
